0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
9.5,9.11,9.33,9.56,8.73,8.56,8.17,10.05,9.5,9.11,9.33,9.56,8.73,8.56,8.17,10.05,12.54,10.77,13.59,13.37,13.26,11.65,13.31,11.82,6.3,9.83,10.33,6.24,6.24,9.33,8.89,9.39,12.04,12.81,11.6,8.51,10.44,9.06,11.65,10.11,10,15.74,8.78,8.06,8.12,9.89,10.88,10.22
6.19,14.64,9.39,6.85,7.79,7.13,7.51,9.11,6.19,14.64,9.39,6.85,7.79,7.13,7.51,9.11,7.01,10.33,8.73,5.58,5.36,5.03,9.39,6.24,10.83,6.24,5.91,5.74,3.92,7.57,3.09,6.35,4.47,12.87,5.47,4.58,6.35,6.96,4.81,3.92,3.65,7.29,6.74,3.65,7.73,7.24,2.1,6.74
3.2,6.46,4.92,3.7,3.98,6.35,7.13,6.63,3.2,6.46,4.92,3.7,3.98,6.35,7.13,6.63,6.19,5.8,5.41,3.04,3.26,7.51,3.7,5.14,4.14,8.67,6.57,5.3,4.09,3.31,6.35,7.01,6.85,7.62,8.06,2.87,4.92,6.24,3.87,8.4,5.85,9.78,8.17,6.08,2.93,5.14,6.96,7.46
7.68,10.88,7.01,5.36,5.63,5.3,4.69,8.84,7.68,10.88,7.01,5.36,5.63,5.3,4.69,8.84,10.77,8.95,5.69,5.63,4.92,6.63,5.91,7.73,7.18,11.88,4.92,3.59,5.36,7.13,7.35,3.15,7.9,9.83,8.84,5.97,4.86,4.47,8.29,8.23,8.01,14.42,7.73,6.13,4.81,6.63,6.79,6.74
8.45,6.41,6.19,5.8,5.08,5.8,3.26,5.85,8.45,6.41,6.19,5.8,5.08,5.8,3.26,5.85,1.38,10.83,5.41,4.09,5.74,6.74,7.62,5.63,6.57,7.24,6.9,6.35,3.7,6.46,4.2,9.56,4.25,12.37,5.97,4.42,5.03,7.46,1.82,4.09,7.62,8.45,5.36,6.46,6.46,6.52,6.74,6.46
8.01,6.74,5.41,3.7,4.75,5.8,3.42,5.19,8.01,6.74,5.41,3.7,4.75,5.8,3.42,5.19,10.66,6.13,7.07,5.63,5.97,5.14,2.15,9.22,6.3,7.57,9.94,5.69,5.47,6.68,5.52,7.35,6.57,11.05,4.2,6.79,5.52,6.96,6.85,9.11,4.86,10.16,5.97,5.03,7.46,5.08,6.19,7.95
5.8,11.05,9.28,5.85,4.64,4.47,5.14,6.24,5.8,11.05,9.28,5.85,4.64,4.47,5.14,6.24,3.87,8.01,9.67,5.47,4.69,4.03,3.92,6.85,10.27,6.24,4.47,5.3,7.01,7.13,4.92,5.41,7.62,14.25,6.85,5.63,4.92,6.63,4.2,7.29,5.08,8.67,6.02,2.76,5.14,6.79,3.98,6.9
4.36,6.35,6.02,4.75,2.6,5.74,6.35,6.85,4.36,6.35,6.02,4.75,2.6,5.74,6.35,6.85,6.08,10.72,4.64,3.81,5.41,7.68,7.01,7.46,1.82,9.22,5.69,4.92,5.19,4.69,8.01,7.13,6.63,6.3,6.3,3.53,6.57,7.07,5.58,8.4,8.84,9.78,5.58,6.13,4.09,4.42,9.17,8.34
8.01,10.38,6.41,5.58,5.25,6.46,6.24,8.4,8.01,10.38,6.41,5.58,5.25,6.46,6.24,8.4,10.27,9.72,6.63,5.8,4.81,5.85,5.47,8.73,7.79,12.43,6.9,2.98,4.86,6.24,2.04,5.74,4.36,8.84,8.62,6.08,4.42,4.69,5.25,7.07,5.3,14.03,6.35,5.19,4.58,6.57,4.09,4.14
9.78,5.85,5.19,5.69,7.13,6.08,3.59,4.92,9.78,5.85,5.19,5.69,7.13,6.08,3.59,4.92,4.09,10.6,9.17,3.04,5.08,6.96,4.81,6.41,9.17,6.79,5.19,6.46,3.7,5.63,6.74,7.07,4.58,14.03,7.01,5.97,4.31,6.3,7.57,5.47,6.9,10.38,6.9,6.63,6.96,6.41,6.41,6.3
6.52,5.8,4.47,3.2,5.3,7.84,7.13,4.75,6.52,5.8,4.47,3.2,5.3,7.84,7.13,4.75,10.66,4.86,6.57,6.24,7.35,5.97,3.48,7.62,3.87,7.51,9.28,4.42,5.47,7.51,6.9,6.63,9.45,9.5,5.3,6.63,6.08,6.46,8.78,8.29,7.79,10.16,9.67,4.53,4.42,6.24,8.56,8.23
4.25,11.88,8.67,4.86,6.3,4.86,6.63,7.01,4.25,11.88,8.67,4.86,6.3,4.86,6.63,7.01,6.02,6.96,8.51,4.58,4.53,5.85,7.79,6.85,9.94,6.74,6.13,5.69,6.46,6.24,2.21,5.63,3.98,11.65,5.41,5.58,5.41,6.74,4.47,3.87,3.37,6.35,6.02,3.2,6.9,6.35,1.55,5.74
2.71,6.13,5.03,5.08,3.59,6.3,7.57,6.08,2.71,6.13,5.03,5.08,3.59,6.3,7.57,6.08,5.69,11.76,4.92,3.26,3.76,6.3,3.7,4.2,3.92,9.33,5.97,5.03,3.37,4.47,6.19,6.9,6.63,7.07,8.34,2.93,5.85,6.41,3.81,9.11,5.91,10.05,8.95,6.24,3.37,5.97,6.79,7.68
6.19,10.05,6.9,5.97,5.74,5.25,4.31,9,6.19,10.05,6.9,5.97,5.74,5.25,4.31,9,8.84,8.89,6.08,5.19,4.69,6.19,6.13,7.4,5.91,12.7,5.03,3.04,4.81,6.68,8.01,4.03,7.07,8.62,8.29,6.13,4.75,4.03,8.95,7.9,7.07,14.25,6.52,5.97,5.19,6.96,6.74,6.24
9.39,5.74,5.63,5.69,5.03,5.36,2.82,6.13,9.39,5.74,5.63,5.69,5.03,5.36,2.82,6.13,1.33,10.94,6.35,4.75,5.97,7.07,6.96,5.52,6.52,7.73,6.96,6.57,3.65,6.19,7.4,6.96,4.31,12.54,5.74,4.53,5.36,7.18,2.54,3.15,7.46,8.45,5.25,6.24,6.3,6.3,6.19,8.95
6.63,6.74,6.3,3.81,3.98,7.13,4.14,6.02,6.63,6.74,6.3,3.81,3.98,7.13,4.14,6.02,10.05,5.41,7.29,6.63,5.63,6.24,1.93,8.67,5.58,8.06,10.11,5.14,4.14,4.03,5.25,7.73,6.52,11.71,4.64,6.74,5.25,6.24,5.97,8.45,4.97,9.83,6.46,5.52,5.97,6.3,5.85,7.07
5.03,11.38,9.11,6.13,5.36,4.81,4.86,6.68,5.03,11.38,9.11,6.13,5.36,4.81,4.86,6.68,9.22,7.4,9.72,5.74,5.14,4.09,6.57,7.73,9.94,5.97,4.53,5.52,6.9,6.52,4.47,4.97,4.47,12.76,6.74,5.69,5.8,6.85,7.29,8.29,5.08,8.06,6.79,3.42,7.35,6.96,6.3,9.11
4.42,6.08,5.8,4.81,3.37,4.09,6.13,6.9,4.42,6.08,5.8,4.81,3.37,4.09,6.13,6.9,5.97,10.38,4.47,6.9,4.53,7.79,6.96,3.09,1.22,9.28,5.08,5.14,3.2,4.53,7.79,7.13,6.24,6.35,6.57,3.87,7.68,6.68,1.71,7.07,8.67,10.44,9.61,6.19,4.64,5.8,8.73,8.01
7.57,9.56,6.41,5.69,5.08,5.74,5.47,8.45,7.57,9.56,6.41,5.69,5.08,5.74,5.47,8.45,6.96,7.57,4.97,5.19,3.65,5.3,8.01,6.68,6.63,12.65,6.79,3.26,3.92,6.3,4.09,5.8,4.81,11.05,5.03,5.08,7.18,6.63,3.98,9.17,5.41,10.55,6.08,4.86,6.02,8.06,4.14,7.95
9.11,5.47,4.53,5.25,6.63,6.35,4.97,5.08,9.11,5.47,4.53,5.25,6.63,6.35,4.97,5.08,3.87,11.54,7.18,4.97,5.03,4.25,4.53,6.52,8.73,6.02,5.47,6.02,2.98,5.8,5.19,8.12,5.19,13.42,7.07,5.58,4.36,6.9,7.51,6.08,6.96,8.67,4.81,5.97,6.85,7.13,6.13,9.61
5.85,5.91,4.31,3.2,4.58,8.51,7.73,4.2,5.85,5.91,4.31,3.2,4.58,8.51,7.73,4.2,9.56,7.4,7.13,6.46,6.74,6.08,3.42,7.84,2.71,7.62,9.11,4.2,4.64,4.36,7.4,6.63,8.29,9.5,4.53,6.02,5.97,5.63,8.95,8.78,7.46,9.56,7.68,5.03,5.8,6.3,8.34,8.73
2.98,12.1,8.56,4.53,6.35,4.42,6.79,6.79,2.98,12.1,8.56,4.53,6.35,4.42,6.79,6.79,6.3,9.78,9.06,5.41,4.31,5.63,8.12,6.96,9.67,6.57,5.36,5.85,6.52,6.19,3.81,6.08,5.03,11.99,6.68,5.47,6.52,7.73,4.69,6.63,4.14,7.29,5.47,3.81,6.52,6.57,1.82,5.36
2.21,6.52,5.03,4.42,3.15,5.85,7.35,6.74,2.21,6.52,5.03,4.42,3.15,5.85,7.35,6.74,5.08,11.99,6.9,3.48,3.87,6.46,3.98,5.08,4.25,10.27,6.24,4.69,2.93,4.75,6.52,7.13,6.46,7.18,8.67,3.48,5.85,6.9,4.09,8.45,5.69,9.33,9.28,6.41,3.76,5.14,7.01,9
6.52,10.38,7.57,6.46,5.3,5.36,3.87,9.11,6.52,10.38,7.57,6.46,5.3,5.36,3.87,9.11,9.5,8.84,5.3,5.47,5.08,5.8,5.58,8.12,5.69,12.76,4.92,3.31,6.3,6.85,4.69,3.59,6.85,9.39,9.17,5.58,4.47,3.76,7.79,8.17,7.35,14.53,7.18,5.52,5.41,6.46,6.63,6.24
8.73,5.97,5.52,5.63,4.75,6.24,3.37,5.69,8.73,5.97,5.52,5.63,4.75,6.24,3.37,5.69,1.27,10.94,5.85,4.75,5.74,4.75,7.18,5.58,6.13,6.96,6.74,6.96,6.35,6.3,3.87,9.33,3.98,12.54,5.3,3.76,5.14,7.24,4.64,3.92,8.06,8.12,4.81,6.02,6.3,6.63,6.63,8.78
7.57,6.79,5.91,3.42,4.97,7.62,4.47,6.41,7.57,6.79,5.91,3.42,4.97,7.62,4.47,6.41,6.85,5.91,4.53,7.13,5.74,6.24,2.04,8.45,5.47,7.13,9.78,5.36,4.47,6.85,4.03,7.46,6.52,10.94,3.92,6.9,6.41,6.74,6.52,9.45,4.81,9.61,6.24,5.8,6.08,5.85,5.74,8.34
5.36,11.93,9.17,5.91,4.75,4.53,5.85,6.9,5.36,11.93,9.17,5.91,4.75,4.53,5.85,6.9,8.45,8.23,5.58,4.81,4.25,4.69,6.52,6.02,9.89,6.96,4.86,5.08,5.97,6.63,4.31,4.92,7.13,11.76,8.17,5.63,5.74,6.9,6.79,8.06,4.14,7.68,7.46,2.32,5.63,6.08,3.59,6.19
4.25,6.57,5.91,4.97,2.87,5.85,6.9,7.29,4.25,6.57,5.91,4.97,2.87,5.85,6.9,7.29,5.97,10.94,5.58,6.46,4.86,6.85,7.01,3.04,1.49,9.72,4.92,5.58,5.3,4.53,8.45,7.24,6.24,7.73,6.35,3.48,7.51,5.74,1.99,6.41,8.29,10.22,8.84,6.13,4.86,4.64,8.84,7.84
7.79,10.27,6.52,6.19,5.52,4.75,6.35,7.24,7.79,10.27,6.52,6.19,5.52,4.75,6.35,7.24,10.05,9.33,5.36,6.08,4.25,6.13,5.58,8.84,6.96,13.04,6.79,3.7,5.3,6.35,4.31,6.35,4.64,9,7.79,6.08,4.58,4.42,5.03,6.74,5.41,13.04,6.41,4.42,4.81,6.9,3.59,4.53
8.73,5.08,4.14,5.91,6.9,6.02,4.86,4.81,8.73,5.08,4.14,5.91,6.9,6.02,4.86,4.81,4.36,10.66,7.18,5.41,4.81,6.19,4.14,5.14,8.06,6.46,5.91,6.52,2.98,6.13,6.24,7.62,4.97,14.25,8.17,5.63,5.63,6.41,6.08,7.9,7.01,9.11,5.25,6.13,6.52,5.8,6.19,10.05
6.19,5.97,4.53,3.53,5.19,7.84,7.29,4.64,6.19,5.97,4.53,3.53,5.19,7.84,7.29,4.64,5.91,5.19,4.53,6.19,6.13,7.73,3.81,7.18,2.15,7.57,9.5,4.14,4.97,7.79,7.84,7.29,8.4,9.56,8.95,6.57,4.14,3.87,8.01,8.4,7.18,9.61,7.57,5.91,6.08,6.63,8.62,8.29
3.26,12.21,8.62,4.69,6.24,4.47,6.85,6.9,3.26,12.21,8.62,4.69,6.24,4.47,6.85,6.9,6.79,8.12,5.3,5.03,4.2,5.47,8.51,7.29,10.16,7.01,5.14,6.85,3.26,6.13,7.57,6.9,4.53,11.76,5.25,5.03,5.19,6.85,4.97,4.14,4.03,7.07,5.97,3.42,7.13,6.79,1.77,3.98
2.71,5.8,4.75,4.75,3.04,6.02,7.62,6.46,2.71,5.8,4.75,4.75,3.04,6.02,7.62,6.46,6.63,12.26,7.13,2.71,4.14,6.74,3.98,5.3,3.42,9.33,6.02,5.47,4.69,3.65,4.92,6.02,5.85,7.13,8.45,3.31,5.25,6.08,6.52,8.29,5.08,10.55,5.08,6.3,4.47,5.14,7.35,7.79
6.79,10.88,7.9,6.35,6.9,5.36,6.3,7.62,6.79,10.88,7.9,6.35,6.9,5.36,6.3,7.62,10.66,9.22,6.19,5.74,4.58,5.85,6.35,7.35,5.69,12.37,5.47,3.59,6.52,6.68,4.92,4.75,7.35,8.89,8.89,6.19,4.36,3.59,6.79,8.01,7.29,10.55,6.46,5.97,4.81,6.68,6.68,8.67
8.17,6.3,4.64,5.85,4.69,6.3,3.09,5.69,8.17,6.3,4.64,5.85,4.69,6.3,3.09,5.69,0.83,10,9.22,4.53,5.14,6.19,7.9,5.8,6.35,6.79,7.07,6.41,2.38,6.52,3.59,9.5,4.25,12.7,5.8,4.92,5.25,7.13,4.53,4.14,8.01,6.3,5.85,6.24,7.13,7.29,6.13,8.89
6.52,7.01,6.35,3.65,3.76,7.51,3.76,6.41,6.52,7.01,6.35,3.65,3.76,7.51,3.76,6.41,10,6.02,4.92,6.24,5.52,5.69,1.44,8.89,5.69,7.73,9.61,5.91,4.53,7.18,4.42,6.79,6.79,11.21,4.47,7.29,6.41,6.63,5.47,9.45,4.75,10.83,5.85,5.47,5.91,6.13,5.25,7.95
5.36,11.88,8.67,4.97,4.58,3.98,6.35,6.41,5.36,11.88,8.67,4.97,4.58,3.98,6.35,6.41,8.67,8.17,5.74,4.64,4.25,4.36,6.08,7.57,9.78,6.41,4.25,4.97,6.35,6.41,4.75,4.47,5.19,14.2,6.9,5.3,5.36,7.07,6.57,8.17,4.25,17.34,6.79,2.15,5.36,5.91,4.03,6.24
4.31,6.46,6.13,4.97,3.76,5.85,6.85,7.24,4.31,6.46,6.13,4.97,3.76,5.85,6.85,7.24,2.65,10.99,5.85,4.42,4.97,7.84,6.85,2.98,1.66,9.67,5.69,5.58,5.25,4.53,7.84,7.24,7.01,11.54,6.46,4.36,7.35,7.01,5.19,7.24,8.01,13.64,8.56,6.3,4.31,4.58,9.22,8.34
8.73,10.05,6.68,6.57,5.41,5.69,5.03,9.17,8.73,10.05,6.68,6.57,5.41,5.69,5.03,9.17,6.9,9.33,6.74,5.52,4.64,4.86,5.69,8.34,7.13,12.26,7.4,3.37,4.75,5.52,4.75,6.08,4.75,15.96,8.73,6.13,4.36,6.08,7.24,7.13,5.08,16.68,6.57,4.53,4.14,8.23,4.36,4.36
